"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL61708"	""	"None"	"428.41"	"1"	"0.91"	"6"	"Nc1nc(O)c2c(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c[nH]c2n1"	"IC50"	"'='"	"4600.0"	"nM"	"5.34"	""	""	"UO_0000065"	"12.46"	"0.24"	"4.43"	"2.62"	"0"	"CHEMBL817509"	"Inhibitory activity against human thymidylate synthase"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1134503"	"1"	"Scientific Literature"	"J Med Chem"	"2001"	"None"	""	""	""
"CHEMBL349723"	""	"None"	"285.33"	"0"	"2.17"	"25"	"Cc1ccc2nc(N)nc(O)c2c1Sc1ccnnc1"	"Ki"	"'='"	"13.0"	"nM"	"7.89"	""	""	"UO_0000065"	"27.64"	"0.54"	"5.72"	"8.06"	"0"	"CHEMBL823517"	"Inhibition of human Thymidylate synthase"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1126619"	"1"	"Scientific Literature"	"J Med Chem"	"1993"	"None"	""	""	""
"CHEMBL164289"	""	"None"	"299.36"	"0"	"3.20"	"10"	"COc1ccc2nc(C)nc(O)c2c1Sc1ccncc1"	"Ki"	"'='"	"260.0"	"nM"	"6.58"	""	""	"UO_0000065"	"22.00"	"0.43"	"3.39"	"9.67"	"0"	"CHEMBL823517"	"Inhibition of human Thymidylate synthase"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1126619"	"1"	"Scientific Literature"	"J Med Chem"	"1993"	"None"	""	""	""
"CHEMBL433923"	""	"None"	"451.55"	"0"	"1.88"	"30"	"C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(S(=O)(=O)N2CCNCC2)cc1"	"Kis"	"'='"	"0.063"	"uM"	""	""	""	"UO_0000064"	""	""	""	""	"0"	"CHEMBL815450"	"Inhibitory activity against human thymidylate synthase"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1129494"	"1"	"Scientific Literature"	"J Med Chem"	"1996"	"None"	""	""	""
"CHEMBL171706"	""	"None"	"433.53"	"0"	"4.50"	"35"	"CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(S(=O)(=O)c2ccccc2)cc1"	"Kii"	"'='"	"0.13"	"uM"	""	""	""	"UO_0000064"	""	""	""	""	"0"	"CHEMBL817305"	"Inhibitory activity against human thymidylate synthase"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1129494"	"1"	"Scientific Literature"	"J Med Chem"	"1996"	"None"	""	""	""
"CHEMBL4129274"	""	"None"	"851.48"	"3"	"4.76"	"27"	"C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(CCOCCOCCOCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)CC3)cc2)ncc1Cl"	"Activity"	""	""	""	""	""	"Active"	""	""	""	""	""	"0"	"CHEMBL4118717"	"Binding affinity to TYMS in human NCI-H23 cells at 1 uM by mass spectrometry based pull down assay"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"NCI-H23"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4118021"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2017"	"None"	""	""	""
"CHEMBL3144092"	""	"None"	"429.28"	"0"	"-0.13"	"13b"	"O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)cc1-c1ccc([N+](=O)[O-])cc1"	"Ki"	"'='"	"58700.0"	"nM"	"4.23"	""	""	"UO_0000065"	"9.86"	"0.20"	"4.36"	"2.18"	"0"	"CHEMBL815567"	"Inhibitory effect on human lymphoblast (Molt/4F) thymidylate synthase"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1124237"	"1"	"Scientific Literature"	"J Med Chem"	"1988"	"None"	""	""	""
"CHEMBL443763"	""	"None"	"401.42"	"0"	"0.86"	"5 (LY-316373)"	"Nc1ncc(CCCc2ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2)c(N)n1"	"Ki"	"'>'"	"5000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL811588"	"Binding affinity against Recombinant human thymidylate synthase (TS)"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1152109"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"1996"	"None"	""	""	""
"CHEMBL34259"	"METHOTREXATE"	"4.0"	"454.45"	"0"	"0.27"	"MTX, methotrexate"	"CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1"	"IC50"	""	""	""	""	""	"Not Determined"	""	""	""	""	""	"0"	"CHEMBL926350"	"Inhibition of human thymidylate synthase"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1140703"	"1"	"Scientific Literature"	"J Med Chem"	"2008"	"None"	""	""	""
"CHEMBL429308"	""	"None"	"323.18"	"0"	"2.97"	"15"	"Cc1cc2nc(N)[nH]c(=O)c2n1Cc1ccc(Cl)c(Cl)c1"	"IC50"	"'='"	"5400.0"	"nM"	"5.27"	""	""	"UO_0000065"	"16.30"	"0.34"	"2.30"	"6.87"	"0"	"CHEMBL926350"	"Inhibition of human thymidylate synthase"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1952"	"Thymidylate synthase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1140703"	"1"	"Scientific Literature"	"J Med Chem"	"2008"	"None"	""	""	""
